Mã định danh,Tên,Loại công trình,hethong,e,n,Tình trạng
H26.KTTVCD.MN067,Cống Liên Mạc TL,Mực nước,Sông Hồng,105.770597,21.089654,tốt
H26.KTTVCD.MN068,Cống Cẩm Đình,Mực nước,Sông Hồng,105.567182,21.144360,hỏng
H26.KTTVCD.MN069,TB Đan Hoài,Mực nước,Sông Hồng,105.721181,21.112911,tốt
H26.KTTVCD.MN072,KTTV Hà Nội,Mực nước,Sông Hồng,105.861464,21.044930,tốt
H26.KTTVCD.MN073,TB Ấp Bắc,Mực nước,Sông Hồng,105.353209,21.234797,tốt
H26.KTTVCD.MN074,TB Hồng Vân,Mực nước,Sông Hồng,105.894446,20.890835,tốt
H26.KTTVCD.MN075,TB Thanh Điềm,Mực nước,Sông Hồng,105.647738,21.161535,tốt
H26.KTTVCD.MN077,TB Trung Hà MN thấp,Mực nước,Sông Hồng,105.353125,21.234269,tốt
