cuong_do_mua,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
670,0.15,0.57,0.23,0.12,0.10,0.08,0.04,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00
675,0.15,0.57,0.24,0.12,0.10,0.08,0.04,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00
680,0.15,0.58,0.24,0.12,0.10,0.09,0.04,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00
685,0.15,0.58,0.24,0.12,0.10,0.09,0.04,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00
690,0.15,0.59,0.24,0.12,0.10,0.09,0.04,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00
695,0.15,0.59,0.24,0.12,0.10,0.09,0.04,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00
700,0.15,0.60,0.24,0.12,0.10,0.09,0.04,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00
705,0.15,0.60,0.25,0.12,0.10,0.09,0.04,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00
710,0.15,0.60,0.25,0.13,0.10,0.09,0.04,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00
715,0.16,0.61,0.25,0.13,0.10,0.09,0.04,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00
720,0.16,0.61,0.25,0.13,0.10,0.09,0.04,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00
725,0.16,0.62,0.25,0.13,0.10,0.09,0.04,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00
730,0.16,0.62,0.25,0.13,0.11,0.09,0.04,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00
735,0.16,0.62,0.26,0.13,0.11,0.09,0.04,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00
740,0.16,0.63,0.26,0.13,0.11,0.09,0.04,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00
745,0.16,0.63,0.26,0.13,0.11,0.09,0.04,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00
750,0.16,0.64,0.26,0.13,0.11,0.09,0.04,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00
755,0.16,0.64,0.26,0.13,0.11,0.10,0.04,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00
760,0.17,0.65,0.26,0.13,0.11,0.10,0.04,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00
765,0.17,0.65,0.27,0.14,0.11,0.10,0.04,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00
770,0.17,0.65,0.27,0.14,0.11,0.10,0.04,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00
775,0.17,0.66,0.27,0.14,0.11,0.10,0.04,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00
780,0.17,0.66,0.27,0.14,0.11,0.10,0.04,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00
785,0.17,0.67,0.27,0.14,0.11,0.10,0.04,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00
790,0.17,0.67,0.28,0.14,0.11,0.10,0.04,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00
795,0.17,0.68,0.28,0.14,0.11,0.10,0.04,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00
800,0.17,0.68,0.28,0.14,0.12,0.10,0.04,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00
805,0.18,0.68,0.28,0.14,0.12,0.10,0.04,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00
810,0.18,0.69,0.28,0.14,0.12,0.10,0.05,0.02,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00
815,0.18,0.69,0.28,0.14,0.12,0.10,0.05,0.02,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00
820,0.18,0.70,0.29,0.14,0.12,0.10,0.05,0.02,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00
825,0.18,0.70,0.29,0.15,0.12,0.10,0.05,0.02,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00
830,0.18,0.71,0.29,0.15,0.12,0.10,0.05,0.02,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00
835,0.18,0.71,0.29,0.15,0.12,0.11,0.05,0.02,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00
840,0.18,0.71,0.29,0.15,0.12,0.11,0.05,0.02,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00
845,0.18,0.72,0.29,0.15,0.12,0.11,0.05,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00
850,0.18,0.72,0.30,0.15,0.12,0.11,0.05,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00
855,0.19,0.73,0.30,0.15,0.12,0.11,0.05,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00
860,0.19,0.73,0.30,0.15,0.12,0.11,0.05,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00
865,0.19,0.74,0.30,0.15,0.12,0.11,0.05,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00
870,0.19,0.74,0.30,0.15,0.13,0.11,0.05,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00
875,0.19,0.74,0.31,0.15,0.13,0.11,0.05,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00
880,0.19,0.75,0.31,0.16,0.13,0.11,0.05,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00
885,0.19,0.75,0.31,0.16,0.13,0.11,0.05,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00
890,0.19,0.76,0.31,0.16,0.13,0.11,0.05,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00
895,0.19,0.76,0.31,0.16,0.13,0.11,0.05,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00
900,0.20,0.77,0.31,0.16,0.13,0.11,0.05,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00
905,0.20,0.77,0.32,0.16,0.13,0.11,0.05,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00
910,0.20,0.77,0.32,0.16,0.13,0.11,0.05,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00
915,0.20,0.78,0.32,0.16,0.13,0.12,0.05,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00
920,0.20,0.78,0.32,0.16,0.13,0.12,0.05,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00
925,0.20,0.79,0.32,0.16,0.13,0.12,0.05,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00
930,0.20,0.79,0.32,0.16,0.13,0.12,0.05,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00
935,0.20,0.79,0.33,0.17,0.13,0.12,0.05,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00
940,0.20,0.80,0.33,0.17,0.14,0.12,0.05,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00
945,0.21,0.80,0.33,0.17,0.14,0.12,0.05,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00
950,0.21,0.81,0.33,0.17,0.14,0.12,0.05,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00
955,0.21,0.81,0.33,0.17,0.14,0.12,0.05,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00
960,0.21,0.82,0.33,0.17,0.14,0.12,0.05,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00
965,0.21,0.82,0.34,0.17,0.14,0.12,0.05,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00
970,0.21,0.82,0.34,0.17,0.14,0.12,0.05,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00
975,0.21,0.83,0.34,0.17,0.14,0.12,0.05,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00
980,0.21,0.83,0.34,0.17,0.14,0.12,0.05,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00
985,0.21,0.84,0.34,0.17,0.14,0.12,0.06,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00
990,0.22,0.84,0.35,0.17,0.14,0.12,0.06,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00
995,0.22,0.85,0.35,0.18,0.14,0.13,0.06,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1000,0.22,0.85,0.35,0.18,0.14,0.13,0.06,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00
